game,language,assign_edges,assign_edges_diff,average_branching,average_branching_diff,comparison_edges,comparison_edges_diff,constants,constants_diff,edges,edges_diff,main_automaton_nodes,main_automaton_nodes_diff,max_branching,max_branching_diff,nodes,nodes_diff,reachability_edges,reachability_edges_diff,reachability_subautomatons,reachability_subautomatons_diff,skip_edges,skip_edges_diff,state_size,state_size_diff,tag_edges,tag_edges_diff,variables,variables_diff
canadianDraughts,rbg,1056,-19.51,1.3118503118503118,29.81,1038,-0.96,15,26.67,4417,-48.99,1226,-53.18,10,20.0,3386,-60.54,44,-13.64,18,-33.33,1993,-87.81,2433,0.0,286,-67.13,9,0.0
gomoku_freeStyle,rbg,82,-69.51,1.1030927835051547,20.49,44,0.0,10,100.0,321,-67.29,66,-60.61,8,0.0,302,-72.19,20,-60.0,10,-60.0,163,-85.28,2469,-45.73,12,-66.67,7,-28.57
hex_8x8,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,859,-37.72,4,-50.0,7,-28.57
alquerque,rbg,784,-50.13,1.112079701120797,20.94,378,-37.04,13,61.54,2679,-71.18,822,-61.68,16,0.0,2442,-75.96,58,-51.72,32,-62.5,1183,-96.87,570,-4.39,276,-71.74,8,-12.5
breakthrough_12x12,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,1369,-42.29,14,-64.29,7,-28.57
chessGardner5x5_kingCapture,rbg,606,-36.14,1.2330532212885157,25.73,382,-0.52,20,55.0,2201,-47.25,898,-45.21,16,0.0,1796,-58.24,20,-60.0,10,-60.0,883,-69.88,1140,0.0,310,-61.29,11,0.0
hex_10x10,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,1219,-41.35,4,-50.0,7,-28.57
surakarta,rbg,373,-46.11,1.1386292834890963,26.45,207,-15.94,18,-22.22,1462,-67.31,442,-62.22,4,200.0,1320,-74.32,82,-85.37,27,-77.78,688,-88.81,1160,0.0,112,-87.5,8,0.0
yavalath,rbg,92,-64.13,1.119241192411924,25.85,46,0.0,8,50.0,413,-68.28,84,-61.9,6,0.0,382,-73.82,28,-57.14,12,-50.0,235,-84.68,829,-37.27,12,-66.67,7,-28.57
hex_6x6,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,579,-31.78,4,-50.0,7,-28.57
knightthrough,rbg,60,-58.33,1.0701754385964912,9.02,18,11.11,8,-50.0,183,-69.4,82,-57.32,2,0.0,182,-71.98,20,-80.0,10,-80.0,73,-95.89,859,-30.27,12,-66.67,7,-14.29
chineseCheckers6,rbg,714,-55.18,1.088468809073724,16.99,439,-1.59,34,191.18,2879,-65.06,886,-56.77,5,0.0,2755,-69.76,306,-64.71,109,-61.47,1274,-92.46,3022,0.0,146,-65.75,8,0.0
gomoku_standard_11x11,rbg,98,-74.49,1.079155672823219,18.03,60,0.0,10,140.0,409,-70.42,66,-60.61,8,0.0,406,-75.37,36,-77.78,26,-84.62,203,-88.18,1429,-42.62,12,-66.67,7,-28.57
15puzzle,rbg,521,-60.08,1.1312127236580516,33.32,323,-64.71,8,162.5,1707,-72.88,439,-66.06,15,0.0,1572,-79.33,109,-41.28,62,-72.58,566,-91.87,784,-36.73,188,-83.51,8,-25.0
chessLosAlamos6x6_kingCapture,rbg,330,-30.0,1.258309591642925,28.21,214,2.8,16,0.0,1325,-46.49,532,-46.62,16,0.0,1064,-58.46,20,-60.0,10,-60.0,603,-70.15,1212,0.0,158,-55.7,8,0.0
theMillGame,rbg,685,-68.91,1.0665834373699543,18.63,286,-46.5,14,14.29,2563,-78.23,499,-49.1,6,-33.33,2533,-81.41,266,-58.65,129,-77.52,842,-96.2,490,-4.9,484,-89.67,9,-11.11
chessSilverman4x5_kingCapture,rbg,282,-27.3,1.2402528977871443,28.21,166,3.61,15,0.0,1177,-48.09,480,-49.17,16,0.0,960,-59.58,20,-60.0,10,-60.0,583,-70.5,712,0.0,126,-57.14,8,0.0
foxAndHounds,rbg,78,-55.13,1.0861244019138756,18.67,10,0.0,6,-33.33,227,-74.45,107,-67.29,4,0.0,220,-77.27,20,-60.0,10,-60.0,105,-99.05,539,-30.43,14,-71.43,7,-28.57
gomoku_standard_13x13,rbg,98,-74.49,1.079155672823219,18.03,60,0.0,10,140.0,409,-70.42,66,-60.61,8,0.0,406,-75.37,36,-77.78,26,-84.62,203,-88.18,1909,-44.47,12,-66.67,7,-28.57
dashGuti,rbg,784,-50.13,1.112079701120797,20.94,378,-37.04,13,61.54,2679,-71.18,822,-61.68,16,0.0,2442,-75.96,58,-51.72,32,-62.5,1183,-96.87,530,-3.96,276,-71.74,8,-12.5
internationalDraughts,rbg,1056,-19.51,1.3118503118503118,29.81,1038,-0.96,15,26.67,4417,-48.99,1226,-53.18,10,20.0,3386,-60.54,44,-13.64,18,-33.33,1993,-87.81,1773,0.0,286,-67.13,9,0.0
hex_7x7,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,709,-35.12,4,-50.0,7,-28.57
hex_5x5,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,469,-27.51,4,-50.0,7,-28.57
hex_9x9,rbg,64,-42.19,1.1895734597156398,58.24,12,0.0,8,-25.0,251,-74.5,58,-60.34,6,16.67,228,-82.02,32,-62.5,16,-62.5,139,-99.28,1029,-39.75,4,-50.0,7,-28.57
breakthrough,rg,17,0.0,1.1428571428571428,0.46,7,0.0,14,0.0,32,-3.12,27,-3.7,3,0.0,30,-3.33,2,0.0,1,0.0,2,-50.0,270,0.0,4,0.0,6,0.0
breakthrough-simple,rg,12,0.0,1.181818181818182,0.0,7,0.0,10,0.0,26,0.0,23,0.0,3,0.0,23,0.0,2,0.0,1,0.0,1,0.0,274,0.0,4,0.0,6,0.0
ticTacToe,rg,13,-15.38,1.1785714285714286,1.82,12,0.0,5,0.0,33,-9.09,17,-5.88,4,0.0,31,-9.68,4,0.0,2,0.0,2,-50.0,49,0.0,2,0.0,7,0.0
minimal,rg,1,0.0,1.0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0,6,0.0,0,0.0,3,0.0
